,Name,Caco_2,CLint(ul/min/mg),HLM_T1/2(min),SMILES,"fraction unbound 
in plasma (fu)",Reference,Year of first disclosure,CT,Domain elimination pathway,,
0,Acetaminophen,16.7,8.1,171.1111111,CC(=O)Nc1ccc(O)cc1,0.52,"Rowlins MD, Henderson DB, Hijab AR (1977) Pharmacokinetics of paracetamol (acetaminophen) after intravenous and oral administration.  Eur. J. Clin. Pharmacol. 11: 283-286.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",1907,neutral,Hepatic,rea,
1,Alprazolam,535,180,7.7,Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,0.29,"Smith RB, Kroboth PD, Vanderligt JT, Phillips JP, and Juhl RP (1984) Pharmacokinetics and pharmacodynamics of alprazolam after oral and IV administration.  Psychopharmacology 84: 452-456.  Greenblatt DJ and Wright CE (1993) Clinical pharmacokinetics of alprazolam. Therapeutic implications.    Clin. pharmacokinet. 24: 453-471.  ",1970,neutral,Hepatic,rea,
2,Amitriptyline,125.7,17,81.52941176,CN(C)CCC=C1c2ccccc2CCc3ccccc13,0.07,Jorgensen A and Hansen V (1976) Pharmacokinetics of amitriptyline infused intravenously in man.  Eur. J. Clin. Pharmacol.  10: 337-341.  Nyberg G and Maartensson E (1984) Determination of free fractions of tricyclic antidepressants.    Naunyn-Sch Arch. Pharmacol. 327: 260-265.,1960,cationic,Hepatic,gfr,
3,Atenolol,1.576027345,14,99,CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,0.94,"Mason WD, Winer N, Kochak G, Cohen I, and Bell R (1979) Kinetics and absolute bioavailability of atenolol.  Clin. Pharmacol. Ther.  25: 408-415.  Henry JA and Mitchell SN (1981)  Effect of pH on human plasma protein binding of a series of .beta.-adrenoceptor antagonists.    Br. J. Clin. Pharmacol. 11: 119P-120P. ",1970,cationic,Renal,secretion,
4,Betaxolol,15.48816619,2.6,533.0769231,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0.4,"Ludden TM, Boyle DA, Gieseker D, Kennedy GT, Crawford MH, Ludden LK, and Clementi WA (1988) Absolute bioavailability and dose proportionality of betaxolol in normal healthy subjects.  J. Pharm. Sci. 77: 779-783.  Henry JA and Mitchell SN (1981) Effect of pH on human plasma protein binding of a series of .beta.-adrenoceptor antagonists.    Br. J. Clin. Pharmacol. 11: 119P-120P. ",1977,cationic,Hepatic,gfr,
5,Bosentan,1.047128548,14,99,COc1ccccc1Oc2c(NS(=O)(=O)c3ccc(cc3)C(C)(C)C)nc(nc2OCCO)c4ncccn4,0.037,10.1016/S0009-9236(96)90127-7,1992,anionic,Hepatic,,
6,Caffeine,40.09861626,5.7,243.1578947,CN1C(=O)N(C)c2ncn(C)c2C1=O,0.64,Blanchard J and Sawers SJA (1983) Comparative pharmacokinetics of caffeine in young and elderly men.  J. Pharmacokinet. Biopharm. 11: 109-126.,1968,neutral,Hepatic,rea,
7,Chlorpromazine,19.92631158,58,23.89655172,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,0.056,"Yeung PKF, Hubbard JW, Korchinski ED, and Midha KK (1993)  Pharmacokinetics of chlorpromazine and key metabolites.  Eur. J. Clin.Pharmacol. 45: 563-569.  Koytchev R, Alken RG, Kirkov V, Neshev G, Vagaday M, and Kunter U (1994) Absolute bioverfugbarkeit von chlorpromazin, promazin, und promethazin.  Arz. Forsch. 44: 121-125.  Curry SH (1970) Plasma protein binding of chlorpromazine.  J. Pharm. Pharmacol. 22: 193-197.",1972,cationic,Hepatic,gfr,
8,Cimetidine,2.367208858,10,138.6,CN\C(=N/CCSCc1nc[nH]c1C)\NC#N,0.78,"Arancibia A, Schindler I, Paccot E, Ruiz I, Gonzalez G, Mella F, and Thambo S (1985) Pharmacicinetique de la cimetidine apres administration d'une dose unique par voie intraveineuse rapide et d'une autre par voie orale.  Therapie  40: 87-92.  Bauer LA, Wareing-Tran C, Edwards WAD, Raisys V, Ferreri L, Jack R, Dellinger EP, and Simonowitz D  (1985) Cimetidine clearance in the obese.  Clin. Pharmacol. Ther. 37: 425-430.  Gugler R, Muller-Liebenau B, and Somogyi A (1982) Altered disposition and availability of cimetdine in liver cirrhotic patients.  Br. J. Clin. Pharmacol. 14: 421-429.  Schentag JJ, Cerra FB, Calleri GM, Leising ME, French MA, and Bernhard H (1981) Age, disease, and cimetidine disposition in healthy subjects and chronically ill patients.  Clin. Pharmacol. Ther. 29: 737-743.",1963,neutral,Renal,secretion,
9,Clozapine,15.89,16,86.625,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,0.055,10.1007/BF01046700,1963,cationic,Hepatic,rea,
10,Desipramine,20.23477942,23,60.26086957,CNCCCN1c2ccccc2CCc3ccccc13,0.16,10.1038/clpt.1988.66,1959,cationic,Hepatic,gfr,
11,Dexamethasone,14.50997181,10,138.6,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.32,10.1111/bcp.12295,1955,neutral,Hepatic,rea,
12,Diazepam,53.39404722,2.2,630,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,0.023,"Klotz U, Avant GR, Hoyumpa A, Schenker S, and Wilkinson (1975) The effects of age and liver disease on the disposition and elimination of diazepam in adult man.  J. Clin. Invest. 55: 347-359.  Andersson T, Andren K, Cederberg C, Edvardsson G, Heggelund A, and Lundborg P (1990) Effect of omeprazole and cimetidine on plasma diazepam levels.  Eur. J. Clin. Pharmacol. 39: 51-54.  Herman RJ and Wilkinson GR (1996) Disposition of diazepam in young and elderky subjects after acute and chronic dosing.  Br. J. Clin. Pharmacol. 42: 147-155.  Lucek RW and Coutinho CB (1976) The role of substituents in the hydrophobic binding of the 1,4-benzodiazepines by human plasma proteins.    Molec. Pharmacol. 12:  612-619.  Desmond PV, Roberts RK, Wood AJJ, Dunn GD, Wilkinson GR, and Schenker S (1980) Effect of heparin administration on plasma binding of benzodiazepines.  Br. J. Clin. Pharmacol. 9: 171-175.",1961,neutral,Hepatic,rea,
13,Diclofenac,53.70317964,207,6.695652174,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,0.005,10.1007/BF00568201,1968,anionic,Hepatic,secretion,
14,Diltiazem,33.03915146,31,44.70967742,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,0.18,10.1007/bf00610053,1973,cationic,Hepatic,secretion,
15,Furosemide,1.60007232,30,46.2,NS(=O)(=O)c1cc(C(=O)O)c(NCc2occc2)cc1Cl,0.012,"Smith DE, Lin ET, and Benet LZ (1980) Absorption and disposition of furosemide in healthy volunteers, measured with a metabolite-specific assay.  Drug Metab. Dispos. 8: 337-342.  Hammerlund MM, Paalzow LK, and Odlind B (1984) Pharmacokinetics of furosemide in man after intravenous and oral administration.  Application of moment analysis. Eur. J. Clin. Pharmacol. 26: 197-207",1948,anionic,Renal,secretion,
16,Ibuprofen,48.09358201,35,39.6,CC(C)Cc1ccc(cc1)C(C)C(=O)O,0.006,"Martin W, Koselowske G, Toberich H, Kerkmann T, Mangold B, and Augustin J (1990) Pharmacokinetics and absolute bioavailability of ibuprofen after oral administration of ibuprofen lysine in man.  Biopharm. Drug Dispos. 11: 265-278.  Lee KJ,  Mower R, Hollenbeck T, Castelo J, Johnson N, Gordon P, Sinko PJ, Holme K, and Lee YH (2003) Modulation of nonspecific binding in ultrafiltration protein binding studies.  Pharm. Res. 20: 1015-1021.",1961,anionic,Hepatic,gfr,
17,Imipramine,21.15255416,32,43.3125,CN(C)CCCN1c2ccccc2CCc3ccccc13,0.075,Brosen K and Gram LF (1988) First-pass metabolism of imipramine and desipramine: impact of the sparteine oxidation phenotype.  Clin. Pharmacol. Ther.  43: 400-406.  Nyberg G and Maartensson E (1984) Determination of free fractions of tricyclic antidepressants.  Naunyn-Sch. Arch. Pharmacol. 327: 260-265.   Danon A and Chen Z (1979) Binding of imipramine to plasma proteins: effect of hyperlipoproteinemia.  Clin. Pharmacol. Ther. 25: 316-321.,1959,cationic,Hepatic,secretion,
18,Ketoprofen,37.28293927,8.1,171.1111111,CC(C(=O)O)c1cccc(c1)C(=O)c2ccccc2,0.008,"Debruyne D, de Ligny BH, Ryckelynck JP, Albessard F, and Moulin M (1987) Clinical pharmacokinetics of ketoprofen after single intravenous administration as a bolus or infusion.  Clin. Pharmacokinet. 12: 214-221.  Lee KJ,  Mower R, Hollenbeck T, Castelo J, Johnson N, Gordon P, Sinko PJ, Holme K, and Lee YH (2003) Modulation of nonspecific binding in ultrafiltration protein binding studies.  Pharm. Res. 20: 1015-1021.",1968,anionic,Hepatic,secretion,
19,Lidocaine,61.65950019,192,7.21875,CCN(CC)CC(=O)Nc1c(C)cccc1C,0.33,10.1007/BF01059261,1946,cationic,Hepatic,rea,
20,Methylprednisolone,13.08962144,28,49.5,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14,0.23,"Booker BM, Magee MH, Blum RA, Lates CD, and Jusko WJ (2002)  Pharmacokinetic and pharmacodynamic interactions between diltiazem and methylprednisolone in healthy volunteers.  Clin. Pharmacol. Ther. 72: 370-382.",1957,neutral,Hepatic,rea,
21,Metoprolol,34.15209319,4.3,322.3255814,COCCc1ccc(OCC(O)CNC(C)C)cc1,0.88,"Jordo L, Attman PO, Aurell M, Johansson L, Johnsson G, and Regardh CG (1980) Pharmacokinetic and pharmacodynamic properties of metoprolol in patients with impaired renal function.  Clin. Pharmacokinet. 5: 169-180.  Schaaf LJ, Campbell SC, Mayersohn MB, Vagedes T, and Perrier DG (1987) Influence of smoking and gender on the disposition kinetics of metoprolol.  Eur. J. Clin. Pharmacol. 33: 355-361.  Richard J, Cardot JM, and Godbillon J (1994) Inter-and intra-subject variability of metoprolol kinetics after intravenous administration.  Eur. J. Drug metab. Pharmacokinet. 19: 157-162.  Johnsson G and Regardh CG (1976) Clinical pharmacokinetics of beta-adrenoreceptor blocking drugs.  Clin. Pharmacokinet. 1: 233-263.",1951,cationic,Hepatic,rea,
22,Midazolam,212,353,3.926345609,Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12,0.017,"Heizmann P, Eckert M, and Ziegler WH (1983) Pharmacokinetics and bioavailability of midazolam in man.  Br. J. Clin. Pharmacol. 16: 43s-49s.  Pentikainen PJ, Valisalmi L, Himberg JJ, and Crevoisier C (1989) Pharmacokinetics of midazolam following intravenous and oral administration in patients with chronic liver disease and in healthy subjects.  J. Clin. Pharmacol. 29: 272-277.  ",1956,neutral,Hepatic,rea,
23,Montelukast,0.411,8.9,77.86516854,CC(C)(O)c1ccccc1CC[C@@H](SCC2(CC(=O)O)CC2)c3cccc(\C=C\c4ccc5ccc(Cl)cc5n4)c3,0.002,"Zhao JJ, Rogers JD, Holland SD, Larson P, Amin RD, Haesen R, Freeman A, Seiberling M, Merz M, and Cheng H (1997) Pharmacokinetics and bioavailability of montelukast sodium (MK-0476) in healthy young and elderly volunteers.  Biopharm. Drug Dispos. 18: 769-777.  Cheng H, Leff JA, Amin R, Gertz BJ, De Smet M, Noonan N, Rogers JD, Malbecq W, Meisner D, and Somers G (1996) Pharmacokinetics, bioavailability, and safety of montelukast sodium (MK-0476) in healthy males and females.  Pharm. Res. 13: 445-448.",1995,anionic,Hepatic,rea,
24,Nadolol,4.717669857,20,69.3,CC(C)(C)NCC(O)COc1cccc2CC(O)C(O)Cc12,0.14,"Morrison RA, Singhvi SM, Creasey WA, and Willard DA (1988) Dose proportionality of nadolol pharmacokinetics after intravenous administration to healthy subjects.  Eur. J. Clin. Pharmacol. 33: 625-628.  Patel L, Johnston A, and Turner P (1984) Nadolol binding to human serum proteins.  J. Pharm. Pharmacol. 36: 414-415.",1973,cationic,Renal,secretion,
25,Naloxone,24.20767402,14,99,Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,0.54,10.1097/00000542-197605000-00008,1971,neutral,Hepatic,rea,
26,Naproxen,52.80828203,21,66,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,0.002,10.1016/0378-5173(87)90106-2,1963,anionic,Hepatic,secretion,
27,Nifedipine,32.26968285,96,14.4375,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C,0.044,"Rashid TJ, Martin U, Clarke H, Waller DG, Renwick AG, and George CF (1995) Factors affecting the absolute bioavailability of nifedipine.  Br. J. Clin. Pharmacol. 40: 51-58.  Robertson DRC, Waller DG, Renwick AG, and George CF (1988) Age-related changes in the pharmacokinetics and pharmacodynamics of nifedipine.  Br. J. Clin. Pharmacol. 25: 297-305.  Kleinbloesem CH, van Harten J, Wilson JPH, Danhof M, van Brummelen P, and Breimer DD (1986) Nifedipine: kinetics and hemodynamic effects in patients with liver cirrhosis after intravenous and oral administration. Clin. Pharmacol. Ther. 40: 21-28.  Kleinbloesem CH, van Brummelen P, van de Linde JA, Voogd PJ, and Breimer DD (1984) Nifedipine: kinetics and dynamics in healthy subjects.  Clin. Pharmacol. Ther. 35: 742-749.    Ramsch KD, Graefe KH, Scherline D, Sommer J, and Ziegler R (1986) Pharmacokinetics and metabolism of calcium-blocking agents nifedipine, nitrendipine, and nimodipine.  Am. J. Nephrol. 6(Suppl 1): 73-80.  ",1974,neutral,Hepatic,rea,
28,Omeprazole,49.84,18,77,COc1ccc2[nH]c(nc2c1)S(=O)Cc3ncc(C)c(OC)c3C,0.05,"Regardh CG, Andersson T, Lagerstrom PO, Lundborg P, and Skanberg I (1990) The pharmacokinetics of omeprazole in humans-a study of single intravenous and oral doses.  Ther. Drug Monit. 12: 163-172.  Regardh CG, Gabrielsson M, Hoffman KJ, Lofberg I, and Skanberg I (1985) Pharmacokinetics and metabolism of omeprazole in animals and man--an overview.  Scand. J Gastroent.108(Suppl): 79-94.",1979,neutral,Hepatic,gfr,
29,Ondansetron,110,1,693,Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C,0.27,"Pritchard JF, Bryson JC, Kernodle AE, Benedetti TL, and Powell JR (1992) Age and gender effects on ondansetron pharmacokinetics:  evaluation of healthy aged volunteers.  Clin. Pharmacol. Ther. 51: 51-55..  Zofran Product Label.",1985,cationic,Hepatic,rea,
30,Prazosin,6.758760556,8.1,171.1111111,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4,0.06,"Meredith PA, Elliott HL, Kelman AW, and Reid JL (1985) Application of pharmacokinetic-pharmacodynamic modelling for the comparison of quinazoline alpha-adrenoreceptor agonists in normotensive volunteers.  J. Cardiovasc. Pharmacol. 7: 532-537.  Vanholder R, Van Landschoot N, De Smet R, Schoots A, and Ringoir S (1988) Drug protein binding in chronic renal failure: evaluation of nine drugs.  Kidney Int. 33: 996-1004.",1969,neutral,Hepatic,secretion,
31,Propranolol,24.43396231,22,63,CC(C)NCC(O)COc1cccc2ccccc12,0.13,10.1371/journal.pone.0097885,1964,cationic,Hepatic,secretion,
32,Quinidine,28.11470847,25,55.44,COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,0.26,10.1007/BF00563104,1890,cationic,Hepatic,gfr,20%renal
33,Ranitidine,4.45,1.6,433.125,CN\C(=C/N(=O)=O)\NCCSCc1oc(CN(C)C)cc1,0.95,"Chau NP, Zech PY, Pozet N, and Hadj-Aissa A (1982) Ranitidine kinetics in normal subjects.  Clin. Pharmacol. Ther. 31: 770-774.  Van Hecken AM, Tjandramaga TB, Mullie A, Verbesselt R, and De Schepper PJ (1982) Ranitidine: single dose pharmacokinetics and absolute bioavailability in man.  Br. J. Clin. Pharmacol. 14: 195-200.  Smith IL, Ziemniak JA, Bernhard H, Eshelman FN, Martin LE, and Schentag JJ (1984) Ranitidine disposition and systemic availability in hepatic cirrhosis.  Clin. Pharmacol. Ther. 35: 487-494.",1978,cationic,Renal,secretion,
34,Rifampicin,12,15.8,87.72151899,CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)\C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)\C)c(\C=N\N5CCN(C)CC5)c(O)c4c3C2=O,0.2,"Houin G, Beucler A, Richelet S, Brioude R, Lafaix C, and Tillement JP (1983) Pharmacokinetics of rifampicin and desacetylrifampicin in tuberculosis patients after different rates of infusion.  Ther. Drug Monit. 5: 67-72.",1965,anionic,Hepatic,rea,
35,Sildenafil,47.86300923,60,23.1,c1(c2nc3c(c(=O)[nH]2)n(nc3CCC)C)c(ccc(c1)S(=O)(=O)N1CCN(CC1)C)OCC,0.04,"Sildenafil 2009-Dec-21  PDF(322k)
Assessment Report EMEA/H/C/638/X/0019",1992,cationic,Hepatic,rea,
36,Theophylline,44.13726907,3.1,447.0967742,CN1C(=O)N(C)c2[nH]cnc2C1=O,0.61,"Kraan J, Borgstrom L, Koeter GH, Laseur M, Jonkman JHG, and deNoord OE (1988) Creation of four consecutive intantaneous steady-state plasma concentration plateaus of theophylline and enprofylline by repeated infusions with expoonentially decreasing delivery rates. Eur. J. Clin. Pharmacol. 35: 657-661.  Lee KJ, Mower R, Hollenbeck T, Castelo J, Johnson N, Gordon P, Sinko PJ, Holme K, and Lee YH (2003) Modulation of nonspecific binding in ultrafiltration protein binding studies.  Pharm. Res.  20: 1015-1021.  Lombardi TP, Bertino JS, Goldberg A, Middleton E, and Slaughter RL (1987) The effects of a beta-2 selective adrenergic agonist and a beta-nonselective antagonist on theophylline clearance.    J. Clin. Pharmacol. 27: 523-529.",1946,neutral,Hepatic,rea,
37,Triazolam,437,,33,Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Cl)ccc4n12,0.1,"Vanderveen RP, Jirak JL, Peters GR, Cox SR, and Bombardt PA (1991) Effect of ranitidine on the disposition of orally and intravenously administered triazolam. Clin. Pharm. 10: 539-543.  Kroboth PD, Smith RB, Sorkin MI, Silver MR, Rault R, Garry M, and Juhl RP (1984) Triazolam protein binding and correlation with alpha-1 acid glycoprotein concentration.  Clin. Pharmacol. Ther. 36: 379-383.",1970,neutral,Hepatic,secretion,
38,Verapamil,50.02013626,142,9.76056338,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,0.093,"Abernethy DR, Wainer IW, Longstreth JA, and Andrawis NS (1993) Stereoselective verapamil disposition and dynamics in aging during racemic verapamil administration.  J. Pharmacol. Exp. Ther. 266: 904-911.  Zachariah PK, Moyer TP, Theobald HM, Frantz RP, Kurtz SB, McCarthy JT, and Smith RL (1991) The pharmacokinetics of racemic verapamil in patients with impaired renal function.  J. Clin. Pharmacol. 31: 45-53.  Eichelbaum M, Mikus G, and Vogelgesang B (1984) Pharmacokinetics of (+)-, (-)- and (+/-)-verapamil after ntravenous administration.  Br. J. Clin. Pharmacol. 17: 453-458.  Eichelbaum M, Somogyi A, von Unruh GE, and Dengler HJ (1981) Simultaneous determination of the intravenous and oral pharmacokinetic parameters of D,L-verapamil using stable isoyope-labelled verapamil.  Eur. J. Clin. Pharmacol. 19: 133-137.  Kirsten R, Nelson K, Kirsten D, and Heintz B (1998) Clinical  pharmacokinetics  of vasodilators. Part I.  Clin. Pharmacokinet. 34: 457-482.  ",1946,cationic,Hepatic,secretion,
39,Vinorelbine,14,,55,CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,0.87,"Sorio R, Robieux I, Galligioni E, Freschi, A, Colussi AM, Crivellari D, Saracchini S, and Monfardini S (1997) Pharmacokinetics and tolerance of vinorelbine in elderly patients with metastatic breast cancer.  Eur. J. Cancer  33: 301-303.   Gebbia V and Puozzo C (2005) Oral versus intravenous vinorelbine: clinical safety profile.  Exp. Op. Drug Safety 4: 915-928. ",1979,neutral,Bile,secretion,
